analyte_name,armss_coeff,pvalue,CI,model_converged_flag,analyte_type,selection_flag
palmitoleate (16:1n7),-0.674584626,0.014798359,"(-1.2170596242165463, -0.13210962751227073)",TRUE,untargeted,TRUE
Isobutyric acid,0.312810282,0.01490795,"(0.060984522964036614, 0.5646360419188723)",TRUE,targeted,TRUE
"N,N-dimethyl-pro-pro",-1.083419572,0.015436011,"(-1.9601648093200759, -0.20667433471109153)",TRUE,untargeted,TRUE
1-palmitoyl-GPE (16:0),-0.51871505,0.015793634,"(-0.9399289374117511, -0.09750116182408053)",TRUE,untargeted,TRUE
trimethylamine N-oxide,-0.454173513,0.016084715,"(-0.8239983191854491, -0.08434870670277872)",TRUE,untargeted,TRUE
methylphosphate,-0.714189195,0.016310459,"(-1.296973208155121, -0.13140518186053962)",TRUE,untargeted,TRUE
glycerophosphoinositol*,-0.780456793,0.016374134,"(-1.4176939365668528, -0.14321965037923956)",TRUE,untargeted,TRUE
N-acetylcitrulline,-0.477858193,0.01639445,"(-0.8680996222637436, -0.08761676392162848)",TRUE,untargeted,TRUE
hexadecadienoate (16:2n6),-0.468327376,0.016706165,"(-0.8518886114685088, -0.08476614034610563)",TRUE,untargeted,TRUE
alpha-hydroxyisocaproate,-1.39586941,0.016799176,"(-2.5400640262350302, -0.25167479471614307)",TRUE,untargeted,TRUE
octadecadienedioate (C18:2-DC)*,-0.974648647,0.016882274,"(-1.7741744087126006, -0.17512288521733632)",TRUE,untargeted,TRUE
proline,-0.345107412,0.017081116,"(-0.6287175931279353, -0.06149723105966187)",TRUE,untargeted,TRUE
sphinganine,0.503592791,0.018963003,"(0.08291273174963937, 0.9242728494696519)",TRUE,untargeted,TRUE
malate,-0.40104269,0.019486597,"(-0.7375149694056905, -0.0645704115354222)",TRUE,untargeted,TRUE
oleoyl ethanolamide,-0.941950187,0.019618984,"(-1.7330983118975256, -0.15080206167839882)",TRUE,untargeted,TRUE
tryptophan betaine,-1.764286539,0.019937491,"(-3.2499600732903287, -0.27861300484108176)",TRUE,untargeted,TRUE
